annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
ManelS,20260530_205942,census,gaussian_copula,0,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:00:25.772753
ManelS,20260530_205942,census,gaussian_copula,0,C2,20,SYNTHETIC,SYNTHETIC,True,84,The correlation numbers are wrong,2026-05-30T21:00:25.772789
ManelS,20260530_205942,census,gaussian_copula,1,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:00:36.854596
ManelS,20260530_205942,census,gaussian_copula,1,C2,20,SYNTHETIC,SYNTHETIC,True,86,,2026-05-30T21:00:36.854631
ManelS,20260530_205942,census,gaussian_copula,2,C1,20,REAL,REAL,True,50,,2026-05-30T21:01:20.492113
ManelS,20260530_205942,census,gaussian_copula,2,C2,20,REAL,REAL,True,61,,2026-05-30T21:01:20.492182
ManelS,20260530_205942,census,gaussian_copula,3,C1,20,REAL,REAL,True,50,,2026-05-30T21:01:32.709457
ManelS,20260530_205942,census,gaussian_copula,3,C2,20,REAL,REAL,True,50,,2026-05-30T21:01:32.709492
ManelS,20260530_205942,census,gaussian_copula,4,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T21:01:41.380616
ManelS,20260530_205942,census,gaussian_copula,4,C2,20,REAL,REAL,True,50,,2026-05-30T21:01:41.380648
ManelS,20260530_205942,census,gaussian_copula,5,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T21:01:50.572091
ManelS,20260530_205942,census,gaussian_copula,5,C2,20,REAL,REAL,True,50,,2026-05-30T21:01:50.572123
ManelS,20260530_205942,census,gaussian_copula,6,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:01:59.813878
ManelS,20260530_205942,census,gaussian_copula,6,C2,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:01:59.813915
ManelS,20260530_205942,census,gaussian_copula,7,C1,20,REAL,REAL,True,50,,2026-05-30T21:02:08.603226
ManelS,20260530_205942,census,gaussian_copula,7,C2,20,REAL,REAL,True,50,,2026-05-30T21:02:08.603262
ManelS,20260530_205942,census,gaussian_copula,8,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:02:16.346021
ManelS,20260530_205942,census,gaussian_copula,8,C2,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T21:02:16.346054
ManelS,20260530_205942,census,gaussian_copula,9,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T21:02:25.117202
ManelS,20260530_205942,census,gaussian_copula,9,C2,20,REAL,REAL,True,50,,2026-05-30T21:02:25.117256
